pid,zipcode,own_occ,land_sf,yr_built,yr_remod,living_area,num_floors,structure_class,r_bldg_styl,r_roof_typ,r_ext_fin,r_total_rms,r_bdrms,r_full_bth,r_half_bth,r_bth_style,r_kitch,r_kitch_style,r_heat_typ,r_ac,r_fplace,r_ext_cnd,r_ovrall_cnd,r_int_cnd,r_int_fin,r_view,zip,population,pop_density,median_income,city_state,av_total
10,2136,Y,10288,1992,0,1681,1,R,RR,G,M,6,3,2,0,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",321200
20,2132,Y,10148,1900,2016,3024,2.5,R,CL,H,F,8,5,2,1,M,1,M,F,N,2,G,G,G,N,G,2132,36314,13251,75446,"Cambridge, MA",845475.9346
30,2132,Y,8512,1920,0,1160,2,R,CL,G,M,5,3,1,1,S,1,S,W,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",401230.0313
40,2124,Y,3187,1900,2001,1868,2,R,CL,M,W,7,4,1,1,M,1,M,W,N,0,G,G,A,N,F,2124,47783,15913,48841,"Dorchester Center, MA",450500
50,2136,Y,10088,1971,1975,1534,1,R,RR,G,W,7,3,1,1,S,2,S,E,N,2,A,A,A,N,G,2136,28488,6207,58890,"Hyde Park, MA",368094.7401
60,2132,Y,3500,1960,1987,1632,2,R,CL,G,M,6,3,2,0,S,1,S,W,N,1,A,G,G,N,A,2132,36314,13251,75446,"Cambridge, MA",466723.1264
70,2130,Y,6007,1962,2001,2146,2,R,CL,G,M,8,3,2,1,S,1,S,W,N,2,G,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",794300
80,2136,Y,5500,1949,2002,1357,1.5,R,CP,G,M,6,3,1,1,S,1,S,F,N,1,G,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",342100
90,2124,Y,3026,1900,0,2346,2.5,R,CL,L,M,10,6,1,1,M,1,M,F,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",444700
100,2131,Y,4950,1900,2012,2032,2,R,CL,G,A,8,4,2,1,M,1,M,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",518500
110,2132,Y,7500,1887,0,1648,2,R,CL,G,M,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",467200
120,2131,Y,5000,1910,0,1772,2,R,CL,G,A,6,3,1,1,S,1,S,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",432600
130,2136,Y,6400,1933,0,1532,2,R,CL,H,M,8,4,1,0,S,1,M,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",294900
140,2124,Y,4449,1925,0,1224,2,R,CL,G,W,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",329200
150,2132,Y,4001,1935,1989,988,1,R,BW,G,M,5,2,1,0,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",313800
160,2136,N,7948,1920,0,2646,2,R,CL,G,M,11,5,3,0,S,2,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",378700
170,2136,Y,10335,1967,0,1274,2,R,CL,G,M,6,3,1,1,S,1,N,W,C,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",388296.2149
180,2132,N,3655,1901,0,1540,2,R,CL,G,M,7,3,1,1,S,1,S,F,N,0,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",388470.7084
190,2130,Y,4020,1926,0,1768,1.5,R,CP,G,M,6,2,1,0,S,1,S,W,N,1,G,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",499300
200,2132,Y,9397,1920,0,2448,2,R,CL,G,W,8,4,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",697900
210,2136,Y,4275,1955,1979,864,1,R,RN,G,A,5,3,1,0,S,1,M,F,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",229500
220,2132,Y,8652,1935,2008,2072,2,R,CL,H,B,7,3,1,1,N,1,M,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",596584.9598
230,2136,N,6947,1960,2012,1040,1,R,RN,G,W,6,3,2,0,M,1,M,W,C,1,A,A,G,N,A,2136,28488,6207,58890,"Hyde Park, MA",365693.1823
240,2136,Y,4875,1925,0,1134,2,R,CL,G,A,6,2,2,0,S,1,S,W,N,0,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",321530.632
250,2130,Y,2812,1900,0,1778,2,R,CL,G,M,7,5,1,1,M,1,M,F,N,0,A,A,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",616299.5634
260,2131,Y,6000,1900,0,1614,2,R,CL,M,M,7,3,1,1,S,1,S,W,N,0,A,A,A,N,A,2131,29826,11505,66735,"Roslindale, MA",447882.1367
270,2132,Y,6999,1912,0,1556,2,R,CL,G,M,8,4,1,1,S,1,S,W,N,1,A,A,A,N,A,2132,36314,13251,75446,"Cambridge, MA",445300
280,2130,Y,7526,1935,0,3036,2,R,CL,H,W,10,4,3,1,M,1,M,W,N,1,G,G,G,N,A,2130,35401,10618,75730,"Jamaica Plain, MA",1076000
290,2124,N,2712,1984,0,918,2,R,RE,G,W,4,2,1,0,S,1,S,E,N,0,A,A,A,N,A,2124,47783,15913,48841,"Dorchester Center, MA",245572.1964
300,2136,Y,6250,1950,0,1550,1.5,R,CP,G,M,6,3,2,0,S,1,S,W,N,1,A,A,A,N,A,2136,28488,6207,58890,"Hyde Park, MA",376200
