objectid,seating_interest_sidewalk,restaurant_name,bulding_number,street,borough,zip,business_address,sidewalk_dimensions_length,sidewalk_dimensions_width,sidewalk_dimensions_area,roadway_dimensions_length,roadway_dimensions_width,roadway_dimensions_area,approved_for_sidewalk_seating,approved_for_roadway_seating,qualify_alcohol,time_of_submission
8725,both,Juices for life,3463,East Fremont ave,Bronx,10465,"3463 East Fremont ave, Bronx, NY",20,8,160,20,8,160,yes,yes,no,2020-07-17T18:49:00Z
8731,sidewalk,Gramercy Bagels,246,246 3rd ave,Manhattan,10010,"246 246 3rd ave, Manhattan, NY",9,5,45,,,,yes,no,no,2020-07-17T19:09:00Z
8796,both,Xi'an Famous Foods,54,Willoughby,Brooklyn,11201,"54 Willoughby, Brooklyn, NY",14,3,42,14,8,112,yes,yes,no,2020-07-17T23:58:00Z
6023,roadway,TARTINE,285,253 west 11 street,Manhattan,10014,"285  253 west 11 street, Manhattan, NY",,,,14,8,112,no,yes,no,2020-06-27T22:35:00Z
8893,sidewalk,Gregorys Coffee,58,West 44th,Manhattan,10036,"58 West 44th, Manhattan, NY",30,15,450,,,,yes,no,no,2020-07-19T20:35:00Z
8903,sidewalk,Spoons,5001,13,Brooklyn,11219,"5001  13, Brooklyn, NY",26,10,260,,,,yes,no,no,2020-07-19T21:45:00Z
8928,roadway,khaabar.   baari,37-22-73,73street,Queens,11372,"37-22-73 73street, Queens, NY",,,,30,8,240,no,yes,no,2020-07-20T07:12:00Z
8947,sidewalk,Williamsburg Pizza,2654,Union Ave,Brooklyn,11211,"2654 Union Ave, Brooklyn, NY",16,6,96,,,,yes,no,no,2020-07-20T18:38:00Z
8959,both,Devon and blakely,250 Park,250 Park Avenue,Manhattan,10177,"250 Park  250 Park Avenue , Manhattan, NY",29,15,435,60,8,480,yes,yes,no,2020-07-20T19:48:00Z
8978,sidewalk,T & J Jamaican Flava INC,1257,97 street,Manhattan,10029,"1257 97 street , Manhattan, NY",20,3,60,,,,yes,no,no,2020-07-20T21:55:00Z
9016,both,SUKI,Store 1,111 1st Ave,Manhattan,10003,"Store 1 111 1st Ave , Manhattan, NY",7,6,42,20,8,160,yes,yes,no,2020-07-21T04:04:00Z
7848,sidewalk,Gregorys Coffee,20,East 40th,Manhattan,10016,"20 East 40th, Manhattan, NY",30,15,450,,,,yes,no,no,2020-07-09T19:07:00Z
9039,both,McDonald's Restaurant of New York INC.,789/42,556 7TH AVE,Manhattan,10018,"789/42 556 7TH AVE , Manhattan, NY",25,0,0,25,6,150,yes,yes,no,2020-07-21T19:53:00Z
9064,sidewalk,IHOP,935,Richmond,Staten Island,10314,"935 Richmond, Staten Island, NY",20,18,360,,,,yes,no,no,2020-07-21T22:06:00Z
9068,both,La Catrina Restaurant Deli,2083,Amsterdam w 163 street,Manhattan,10032,"2083 Amsterdam w 163 street , Manhattan, NY",10,11,110,10,8,80,yes,yes,no,2020-07-21T22:25:00Z
9083,both,My Jarabacoa #1 Restaurant,65 13,FreshPond Rd,Queens,11385,"65 13  FreshPond Rd, Queens, NY",8,8,64,8,8,64,yes,yes,no,2020-07-22T00:21:00Z
9089,sidewalk,2522 mombar,2522,steinway,Queens,11103,"2522 steinway , Queens, NY",24,5,120,,,,yes,no,no,2020-07-22T03:11:00Z
9108,openstreets,Black Fox Coffee,70,pine,Manhattan,10005,"70  pine, Manhattan, NY",,,,,,,no,no,no,2020-07-22T18:33:00Z
9120,both,Famosa pizza,621 e 187,187,Bronx,10458,"621 e 187 187, Bronx, NY",16,8,128,24,8,192,yes,yes,no,2020-07-22T19:40:00Z
9143,sidewalk,Golden Unicorn Gourmet Corp,18,18 East Broadway,Manhattan,10002,"18 18 East Broadway, Manhattan, NY",80,6,480,,,,yes,no,no,2020-07-22T21:51:00Z
4112,sidewalk,Memo Shish kebab,1821,Kingshighway,Brooklyn,11229,"1821 Kingshighway, Brooklyn, NY",42,4,168,,,,yes,no,no,2020-06-23T06:42:00Z
9176,both,Hudson yard tavern,360 9th,31st on 9th,Manhattan,10001,"360 9th  31st on 9th, Manhattan, NY",24,16,384,34,8,272,yes,yes,no,2020-07-23T02:14:00Z
9180,both,india kitchen,493 & 495,9th Avenue,Manhattan,10018,"493 & 495 9th Avenue, Manhattan, NY",10,3,30,10,3,30,yes,yes,no,2020-07-23T04:59:00Z
9185,both,ikebana zen,1026764,401 w 53rd,Manhattan,10019,"1026764 401 w 53rd, Manhattan, NY",36,8,288,36,8,288,yes,yes,no,2020-07-23T17:24:00Z
9218,both,Orchard Grocer,78,78 Orchard St,Manhattan,10002,"78 78 Orchard St, Manhattan, NY",12,12,144,12,8,96,yes,yes,no,2020-07-23T22:52:00Z
9240,roadway,el morro no 2,4006,13th ave 40 street,Brooklyn,11218,"4006  13th ave 40 street , Brooklyn, NY",,,,30,8,240,no,yes,no,2020-07-24T01:21:00Z
